date,source,series_code,series_name,value
1979-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,7.6183e-09
1980-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,8.1223e-09
1980-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.61564916057387
1980-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.62
1980-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,8.4973e-09
1980-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,4.61691885303424
1980-02-29,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,4.62
1980-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,9.0104e-09
1980-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.03838866463464
1980-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.04
1980-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,9.4867e-09
1980-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.28611382402557
1980-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.29
1980-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.00277e-08
1980-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.70272065101669
1980-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.7
1980-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.05597e-08
1980-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.30530430706944
1980-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.31
1980-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.11453e-08
1980-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.54561209125259
1980-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.55
1980-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.16965e-08
1980-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,4.94558244282344
1980-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,4.95
1980-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.21913e-08
1980-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,4.23032531099046
1980-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,4.23
1980-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.33471e-08
1980-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,9.4805311984776
1980-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,9.48
1980-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.42378e-08
1980-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.67335975605188
1980-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.67
1980-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.51795e-08
1980-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.61408363651688
1980-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.61
1981-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.62174e-08
1981-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.83751111696695
1981-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.84
1981-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.72555e-08
1981-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.40114938276171
1981-02-28,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.4
1981-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.81134e-08
1981-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,4.97174813827477
1981-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,4.97
1981-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.92839e-08
1981-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.46206675720737
1981-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.46
1981-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.0356e-08
1981-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.55956004750076
1981-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.56
1981-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.14792e-08
1981-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.51778345450973
1981-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.52
1981-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.28229e-08
1981-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.25581958359716
1981-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.26
1981-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.40772e-08
1981-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.49579588921654
1981-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.5
1981-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.53429e-08
1981-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.25684049640323
1981-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.26
1981-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.66297e-08
1981-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.07755623863095
1981-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.08
1981-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.80335e-08
1981-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.27155769685728
1981-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.27
1981-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.96946e-08
1981-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.92541066937771
1981-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.93
1982-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.17628e-08
1982-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.97
1982-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.97
1982-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.38708e-08
1982-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.63669449796618
1982-02-28,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.64
1982-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.58057e-08
1982-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.71259019568477
1982-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.71
1982-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.79137e-08
1982-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.88733078811474
1982-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.89
1982-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,4.04382e-08
1982-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.65854295413002
1982-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.66
1982-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,4.33113e-08
1982-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,7.1049156490645
1982-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,7.1
1982-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,4.6065e-08
1982-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.35792506805384
1982-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.36
1982-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,4.88164e-08
1982-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.97286443069576
1982-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.97
1982-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,5.12964e-08
1982-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.08025991265231
1982-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.08
1982-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,5.35752e-08
1982-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,4.44241701172012
1982-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,4.44
1982-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,5.64085e-08
1982-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,5.28845435947976
1982-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,5.29
1982-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,6.08117e-08
1982-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,7.80591577510481
1982-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,7.81
1983-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,6.60665e-08
1983-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,8.64110031457763
1983-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,8.64
1983-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,7.12581e-08
1983-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,7.85814293174301
1983-02-28,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,7.86
1983-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,7.64919e-08
1983-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,7.34484921714165
1983-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,7.34
1983-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,8.15245e-08
1983-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.57925871889702
1983-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.58
1983-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,8.68097e-08
1983-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.48295911045147
1983-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.48
1983-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,9.53868e-08
1983-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,9.88034747269024
1983-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,9.88
1983-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.050003e-07
1983-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,10.0784385260854
